category_id,category_count,category_label
3747017,652,手绘模板
4576874,640,阅读架
2827444,638,折叠书桌灯
4580532,636,运动发带
2778281,630,瑜伽袜
338646,629,健身垫（加厚款）
3208959,619,跳舞鞋
1045172,618,运动内衣
800581,616,瑜伽眼罩
174239,613,健身拉力绳
4242717,613,短跑训练鞋
1817004,612,运动护踝
1973012,610,网球拍（入门款）
4476428,610,乒乓球拍套装
772629,604,羽毛球拍（轻量款）
2877672,604,健身课程体验券
3800818,603,运动背包
1488813,601,防滑瑜伽垫
3604509,595,美妆蛋
3616520,593,化妆刷清洗剂
4602841,589,睫毛增长液
1320530,589,面部按摩仪（简易款）
1595193,589,美容面膜刷
383749,583,防晒喷雾
3340725,569,美白精华（小样装）
2529187,569,唇膜
1008362,568,眼线笔
4921805,565,睫毛膏
72526,563,高光粉
4533189,559,修容棒
339305,553,美甲灯（迷你款）
3108044,552,美甲工具套装
2925160,548,香薰精油套装
4391936,540,染发工具（一次性）
4708262,538,发蜡
1807416,530,发泥
4901188,526,定型喷雾
401357,526,美容放大镜
360294,518,睫毛滋养液
2476560,518,面部清洁仪（基础款）
2590256,508,美妆收纳盒
1505776,508,化妆镜（带灯光）
1068933,498,美甲贴钻
366112,497,美甲亮片
2736436,492,美甲UV胶
4639855,492,手机支架（桌面款）
1312642,491,手机镜头套装（广角/微距）
553365,491,手机背夹电池
267209,489,无线充电板
4048584,486,蓝牙耳机（平价款）
1928278,485,耳机收纳盒
4640311,482,Type-C转接头
1516409,474,Lightning转接头
1349634,470,USB分线器
4936889,469,多功能读卡器
3277224,468,移动硬盘（小容量）
3855599,466,U盘（32GB/64GB）
2033408,464,笔记本散热支架
2247787,458,游戏手柄（手机用）
3879308,451,智能手环（基础款）
1573426,450,智能插座
4794845,448,小型投影仪（入门款）
3381583,448,便携式屏幕清洁器
4238676,447,电脑摄像头（高清款）
1548278,443,鼠标垫（发光款）
3407883,440,键盘防尘罩
3848953,436,笔记本电脑包
2479420,436,平板保护套
1102540,436,平板支架（可调节）
2188684,428,手写笔（电容屏用）
3566034,427,游戏耳机（入门款）
1722855,425,游戏鼠标（轻量款）
901282,424,电竞键盘（薄膜款）
2303546,420,无线路由器（家用款）
2891408,418,网线钳
2293367,418,水晶头（RJ45）
1288487,417,HDMI高清线
4712571,415,VGA转HDMI转换器
4509358,412,充电线收纳盒
1154246,411,无线蓝牙音箱（迷你款）
3123784,411,迷你麦克风（直播用）
2702525,411,手机三脚架
3371868,409,自拍补光灯
3323023,408,相机清洁套装
4589142,407,SD存储卡（64GB/128GB）
2087597,406,行车记录仪（基础款）
4151801,405,智能家居控制器
2296439,403,智能门铃（简易款）
4654786,401,智能灯泡（可调色）
1449177,400,声控音响（小型）
1020087,399,电子闹钟（简约款）
2558204,395,桌面风扇（USB供电）
3500710,395,手持小风扇（充电款）
4458428,391,车载手机支架
4758477,388,车载充电器
1158475,387,汽车空气净化器
874415,383,智能体重秤
590997,381,体脂检测仪
3736316,380,便携式电源逆变器
3312150,380,太阳能充电宝
1884322,378,电子书阅读器（基础款）
1050007,377,数码相框（小型）
3758209,375,录音笔（便携款）
1046047,374,电子翻译器
1207887,372,智能手写板
3112817,369,手机信号增强器
2459106,368,无线耳机挂绳
3189935,368,耳机绕线器
3669044,363,降噪耳塞（电子款）
1474371,358,智能手表表带
155172,356,VR眼镜（入门款）
1231891,355,无人机（迷你款）
2671397,353,智能追踪器（防丢器）
3597057,353,激光笔（教学用）
2940518,352,电动螺丝刀（小型）
1165503,351,电子显微镜（便携款）
4135836,350,手机防水袋
2872443,349,手机屏幕放大器
3398567,348,手机壳（磁吸款）
4086613,345,数据线收纳扣
2129666,342,无线充电器支架
3303026,340,智能夜灯（感应款）
3354571,339,智能窗帘控制器
3232473,339,智能遥控器
4015820,337,智能扫地机器人（基础款）
1074254,336,智能语音助手（入门款）
4834913,335,电子称重勺
4321796,334,电子厨房计时器
622168,331,智能保温杯
339580,329,便携式WiFi热点
2966303,328,无线网卡（USB款）
3664107,326,电脑屏幕挂灯
2321441,325,笔记本电脑支架
2013232,324,USB声卡
3774512,322,降噪耳机（平价款）
3461823,321,游戏方向盘（简易款）
3459562,319,游戏座椅垫
3248072,318,电竞耳机支架
3177877,317,智能健康手环
4466876,315,智能睡眠眼罩
4958794,315,智能水杯
4583884,314,智能插座定时器
3681810,313,手机K歌麦克风
1521931,312,电子节拍器
2748804,312,USB加湿器（小型）
1691699,311,手机壳（透明款）
4310023,310,数据线（编织材质）
643645,307,无线耳机（降噪款）
4308141,306,蓝牙音箱（户外款）
3496816,304,LED台灯（折叠款）
2579035,302,笔记本电脑包（防震款）
237446,302,中性笔（速干墨水）
146830,301,文件夹（加厚款）
2154867,301,垃圾桶（脚踏式）
35290,298,衣架（防滑款）
564681,296,厨房开瓶器（多功能）
3320579,296,清洁刷（长柄款）
3805065,295,牙刷（电动款）
1014564,295,牙膏（美白型）
3171095,293,梳子（防静电）
359388,293,小型剃须刀（充电款）
1615537,292,面膜（补水型）
2733371,291,指甲油（持久款）
3351726,291,化妆刷（套装）
1125862,290,零食礼包（坚果类）
2361828,289,方便面（大碗装）
2576484,287,茶包（花果茶）
2066955,286,速溶咖啡（低糖款）
2581941,286,发圈（弹性款）
2667323,285,发夹（珍珠装饰）
4098232,284,袜子（纯棉款）
4869428,284,围巾（针织款）
3378887,282,手套（触屏款）
4051859,282,瑜伽垫（专业款）
4633953,282,跳绳（计数款）
3400167,281,儿童拼图（益智款）
243423,279,小型玩偶（毛绒款）
1376358,277,宠物玩具（耐咬款）
4298656,275,猫抓板（瓦楞纸款）
2331312,274,宠物喂食器（自动款）
2533863,272,订书机（迷你款）
1249761,271,剪刀（不锈钢款）
4444302,271,胶带（双面款）
4276787,271,回形针（彩色款）
2832009,270,便利贴（荧光款）
3194735,270,桌布（防水款）
578983,267,收纳盒（抽屉式）
4355436,265,鞋刷（猪毛款）
2433095,265,鞋垫（硅胶款）
3209590,262,香皂（手工款）
2806049,261,洗手液（泡沫型）
2030976,261,洗衣袋（网状款）
330316,257,干燥剂（食品级）
2890111,257,防潮袋（衣柜用）
4138583,256,空气清新剂（喷雾款）
4470576,255,蚊香（无烟款）
4655941,255,电蚊拍（可充电）
5063620,254,晾衣架（伸缩款）
1724559,253,晒衣夹（塑料款）
970709,252,浴室地垫（吸水款）
3829421,252,杯子（保温款）
2157356,252,餐具套装（陶瓷款）
3740459,251,保温杯（轻量款）
431452,251,小型盆栽（多肉植物）
3147903,250,桌面收纳架（分层款）
3999977,247,钥匙扣（卡通款）
2853993,246,卡包（真皮款）
2924150,246,零钱包（拉链款）
181182,243,手提袋（环保款）
64179,241,贴纸（防水款）
2042400,241,书签（金属款）
4301450,240,相册（硬壳款）
1438507,240,桌游卡牌（经典款）
841696,239,折叠伞（抗风款）
3439012,238,太阳镜（偏光款）
1842993,237,发带（运动款）
3836451,236,耳钉（简约款）
223690,234,戒指（开口款）
3695050,234,手链（串珠款）
1678374,233,挂饰（车内用）
5030562,233,仿真花（玫瑰款）
722945,233,小夜灯（星空款）
3177764,231,插座延长线（带开关）
796856,231,充电器（快充款）
3637084,231,移动电源（大容量）
4267003,231,自拍杆（三脚架款）
2217187,230,手机支架（磁吸款）
1689624,229,屏幕清洁套装（喷雾型）
739426,228,桌面加湿器（静音款）
2774299,228,小型工具箱（家用款）
286229,228,创意摆件（动物造型）
3441583,228,香薰蜡烛（精油款）
3087458,228,火柴盒（复古款）
1573465,227,小型垃圾桶（桌面款）
4095810,226,桌面吸尘器（无线款）
85955,226,旅行牙刷套装（便携款）
703487,225,折叠水壶（食品级）
3081594,225,简易画板（木质款）
3807763,224,彩色铅笔（水溶性）
3620161,224,橡皮擦（无屑款）
2194744,224,学生尺子（透明款）
1530704,223,透明文件袋（A4尺寸）
3214361,222,小型镜子（化妆款）
4152994,221,电子计算器（科学型）
2678261,220,化妆棉（压缩款）
4130426,220,卸妆水（温和型）
2725426,220,睫毛夹（加热款）
2352202,220,假睫毛（自然款）
876318,219,眉笔（自动款）
1813610,218,口红（哑光款）
3880463,217,腮红（粉状款）
3252144,216,粉底液（遮瑕型）
1108912,216,隔离霜（防晒型）
1297992,215,定妆喷雾（保湿型）
1485951,214,指甲锉（金刚砂款）
2362370,213,指甲剪套装（便携款）
284968,212,美甲贴纸（渐变款）
4804883,211,护手霜（滋润型）
1431810,211,香体喷雾（持久款）
3561974,209,运动护腕（透气款）
1629035,209,运动头带（吸汗款）
3253357,208,运动毛巾（速干款）
323851,208,小型哑铃（可调节款）
1936748,207,弹力带（多种阻力）
1612623,207,运动水壶（刻度款）
2256028,205,健身手套（防滑款）
4282670,205,瑜伽砖（环保材质）
1009182,204,护膝（加厚款）
3904106,203,跑步腰包（轻便款）
757910,203,健身计步器（智能款）
3672452,202,自动铅笔（0.5mm）
5144469,201,彩色荧光笔（6色套装）
1026507,201,活页本（网格款）
4789674,200,订书钉（标准款）
3860845,200,修正带（宽幅款）
662846,199,水彩颜料套装（24色）
4062559,199,毛笔（狼毫款）
1988433,199,画架（折叠款）
869231,198,手账胶带（主题款）
3361496,197,DIY手工材料包（刺绣款）
4167958,197,磁性书签（金属款）
960102,196,文件收纳袋（透明款）
569703,196,笔袋（帆布款）
3118167,195,创意橡皮（动物造型）
2195789,195,钢尺（不锈钢款）
542908,194,桌面整理盘（分区款）
551706,194,多功能文具盒（分层款）
2935574,194,小型白板（磁性款）
4696710,193,白板笔（细头款）
1471163,193,文具收纳架（旋转款）
3457718,193,学生计算器（金融型）
3430419,193,字帖练习本（硬笔书法）
1269883,192,英语单词卡片（高频词汇）
3767409,192,数学练习册（小学版）
245030,191,科学实验工具套装（青少年版）
1875258,191,彩色便签条（心形款）
2202384,191,手工剪刀（弯头款）
1354236,190,纸胶带（和风款）
1881956,190,DIY拼图套装（3D立体）
1338377,189,手绘模板（花卉款）
904454,189,阅读架（可调角度款）
1906712,189,折叠书桌灯（触摸款）
3924783,189,运动发带（宽边款）
767106,189,瑜伽袜（防滑款）
4160459,187,健身垫（超薄款）
611849,186,跳舞鞋（软底款）
4894095,186,运动内衣（支撑型）
446701,185,瑜伽眼罩（丝绸款）
3790396,185,健身拉力绳（多段阻力）
1293225,185,短跑训练鞋（轻量化）
2651305,185,运动护踝（高弹力款）
4006013,185,网球拍（进阶款）
58836,184,乒乓球拍套装（比赛款）
3425094,183,羽毛球拍（碳纤维款）
1331853,182,健身课程体验券（团体课）
1711596,182,运动背包（防水款）
1872294,182,防滑瑜伽垫（TPE材质）
4743234,182,美妆蛋（气垫款）
2322253,182,化妆刷清洗剂（泡沫型）
1132429,181,睫毛增长液（滋养型）
924708,181,面部按摩仪（滚轮款）
4966058,180,美容面膜刷（硅胶款）
873792,179,防晒喷雾（清爽型）
3794706,179,美白精华（安瓶款）
1943877,178,唇膜（夜间修护款）
1281171,178,眼线笔（防水款）
4338287,178,睫毛膏（浓密型）
4004564,178,高光粉（细腻款）
79451,178,修容棒（双头款）
1089685,178,美甲灯（专业款）
2540093,177,美甲工具套装（高端款）
3570656,177,香薰精油套装（单方款）
1392527,176,染发工具（一次性喷雾）
2394030,176,发蜡（强力定型款）
2050292,176,发泥（哑光效果款）
2672762,175,定型喷雾（持久型）
4915680,174,美容放大镜（带灯款）
4684862,174,睫毛滋养液（修复型）
690811,174,面部清洁仪（声波款）
274067,174,美妆收纳盒（透明款）
4825728,174,化妆镜（折叠款）
4780547,173,美甲贴钻（闪粉款）
450901,173,美甲亮片（金葱款）
1278525,173,美甲UV胶（多色款）
3253210,173,手机镜头套装（鱼眼款）
1343555,173,手机背夹电池（超薄款）
4817527,172,无线充电板（快充款）
2425725,172,蓝牙耳机（运动款）
2815065,171,耳机收纳盒（硅胶款）
1884568,171,Type-C转接头（铝合金款）
4763051,171,Lightning转接头（镀金款）
2732466,170,USB分线器（4口款）
582243,170,多功能读卡器（高速款）
160181,170,移动硬盘（1TB款）
3004643,170,U盘（128GB款）
448398,169,笔记本散热支架（升降款）
4847838,169,游戏手柄（PC兼容款）
4718134,169,智能手环（心率监测款）
2644878,169,智能插座（语音控制款）
2896142,168,小型投影仪（高清款）
2314022,168,便携式屏幕清洁器（纳米纤维款）
2626421,168,电脑摄像头（广角款）
605882,168,鼠标垫（加厚款）
2440364,167,键盘防尘罩（全尺寸款）
113102,166,平板保护套（翻盖款）
4969568,166,平板支架（铝合金款）
562672,166,手写笔（压感款）
895939,166,游戏耳机（7.1声道款）
3619575,165,游戏鼠标（RGB灯光款）
2878148,164,电竞键盘（机械轴款）
4784134,164,无线路由器（千兆款）
428367,164,网线钳（自动剥线款）
1419417,164,水晶头（镀金款）
383530,164,HDMI高清线（2米款）
3490970,163,VGA转HDMI转换器（带音频款）
4449178,163,充电线收纳盒（磁吸款）
1127566,163,无线蓝牙音箱（重低音款）
5003455,163,迷你麦克风（K歌款）
2964603,162,手机三脚架（八爪鱼款）
1943989,162,自拍补光灯（环形款）
4066962,162,相机清洁套装（专业款）
1733868,161,SD存储卡（256GB款）
3230909,161,行车记录仪（夜视款）
562852,161,智能家居控制器（多设备兼容款）
4263418,160,智能门铃（高清摄像款）
888094,160,智能灯泡（WiFi控制款）
3796207,160,声控音响（Hi-Fi款）
401765,160,电子闹钟（投影款）
999755,160,桌面风扇（静音款）
4583654,159,手持小风扇（挂脖款）
1457367,159,车载手机支架（磁吸款）
163196,158,车载充电器（双口款）
4897718,158,汽车空气净化器（负离子款）
3156448,158,智能体重秤（人体成分分析款）
3530487,158,体脂检测仪（蓝牙款）
321567,158,便携式电源逆变器（正弦波款）
1888306,158,太阳能充电宝（大容量款）
3935940,157,电子书阅读器（护眼款）
2452793,157,数码相框（高清触屏款）
3343095,156,录音笔（降噪款）
2426236,156,电子翻译器（离线款）
3779369,156,智能手写板（APP同步款）
3410245,156,手机信号增强器（全频段款）
1611144,156,无线耳机挂绳（硅胶款）
3164550,155,耳机绕线器（磁吸款）
1189158,155,降噪耳塞（睡眠专用款）
4869837,155,智能手表表带（尼龙款）
2794147,155,VR眼镜（4K分辨率款）
3962843,154,无人机（航拍款）
1429156,154,智能追踪器（全球定位款）
3715529,153,激光笔（绿光款）
3829657,153,电动螺丝刀（锂电款）
3422001,153,电子显微镜（1000倍款）
133377,152,手机防水袋（潜水款）
3504022,152,手机屏幕放大器（折叠款）
3367924,152,手机壳（液态硅胶款）
2596428,152,数据线收纳扣（魔术贴款）
2085893,151,无线充电器支架（立式款）
3570834,151,智能夜灯（感应亮度款）
3912910,151,智能窗帘控制器（遥控款）
3980900,151,智能遥控器（万能款）
1868423,151,智能扫地机器人（拖地一体款）
3497230,151,智能语音助手（多语言款）
4292119,151,电子称重勺（精准款）
1013319,151,电子厨房计时器（倒计时款）
2632873,151,智能保温杯（温度显示款）
4871255,150,便携式WiFi热点（4G款）
4733463,150,无线网卡（PCI-E款）
4512393,149,电脑屏幕挂灯（护眼款）
2612027,148,笔记本电脑支架（铝制款）
4285553,148,USB声卡（外置款）
3913141,147,降噪耳机（主动降噪款）
432873,147,游戏方向盘（带换挡款）
4688770,147,游戏座椅垫（记忆海绵款）
5046132,146,电竞耳机支架（桌面款）
4078249,146,智能健康手环（血氧监测款）
4273662,146,智能睡眠眼罩（助眠款）
1717476,146,智能水杯（定时提醒款）
2156574,145,智能插座定时器（循环设置款）
996449,145,手机K歌麦克风（混响款）
135038,145,电子节拍器（可视化款）
2772071,145,USB加湿器（香薰款）
4418144,144,手机壳（全包款）
4853207,144,数据线（尼龙编织款）
2528824,143,无线耳机（真无线款）
2800021,143,蓝牙音箱（便携迷你款）
944818,143,LED台灯（护眼款）
3865465,143,笔记本电脑包（防水款）
865039,142,中性笔（按动款）
2106073,142,文件夹（PP材质）
4052307,142,垃圾桶（智能感应款）
2290623,142,衣架（多功能款）
957119,142,厨房开瓶器（省力款）
2979796,141,清洁刷（缝隙专用）
1040356,141,牙刷（软毛款）
1528701,140,牙膏（抗敏感型）
3184456,140,梳子（按摩款）
4540978,139,小型剃须刀（干湿两用款）
1620537,139,面膜（美白型）
65720,139,指甲油（快干款）
2739327,138,化妆刷（单支款）
2649368,137,零食礼包（膨化类）
781315,137,方便面（速食杯装）
2311290,136,茶包（普洱茶）
1673021,136,速溶咖啡（黑咖啡款）
4203730,136,发圈（宽边款）
2026832,135,发夹（金属装饰）
2321836,135,袜子（防臭款）
3730378,134,围巾（丝巾款）
5063923,134,手套（保暖款）
2272488,134,瑜伽垫（超薄便携款）
2492895,134,跳绳（无绳款）
1073768,134,儿童拼图（木质款）
58498,133,小型玩偶（树脂款）
2922264,133,宠物玩具（发声款）
1526856,133,猫抓板（悬挂款）
3745824,132,宠物喂食器（双碗款）
5028877,132,订书机（重型款）
55312,132,剪刀（园艺款）
4498047,131,胶带（透明款）
3045640,131,回形针（不锈钢款）
1609467,131,便利贴（可擦写款）
476283,131,桌布（棉麻款）
1819175,130,收纳盒（折叠款）
928449,130,鞋刷（马毛款）
4129924,130,鞋垫（活性炭款）
3751366,130,香皂（植物精油款）
1582197,130,洗手液（抑菌型）
3933554,129,洗衣袋（大号款）
772894,129,干燥剂（硅胶款）
863375,129,防潮袋（密封款）
5064,128,空气清新剂（固体款）
1040727,128,蚊香（电热款）
4662072,128,电蚊拍（伸缩款）
3248864,128,晾衣架（多层款）
1277467,127,晒衣夹（木制款）
3886822,127,浴室地垫（防滑款）
856718,127,杯子（玻璃款）
3582241,127,餐具套装（不锈钢款）
3788576,127,保温杯（真空款）
3455617,126,小型盆栽（空气凤梨）
1765288,126,桌面收纳架（模块化款）
3090850,126,钥匙扣（钥匙灯款）
922189,126,卡包（PVC款）
4339360,126,零钱包（挂链款）
3995452,126,手提袋（帆布款）
2421366,125,贴纸（夜光款）
2154669,125,书签（流苏款）
1367932,125,相册（软皮款）
3100759,125,桌游卡牌（策略款）
2436637,125,折叠伞（自动开合款）
1090997,124,太阳镜（运动款）
440901,124,发带（丝质款）
1963052,124,耳钉（锆石款）
2366905,124,戒指（镶嵌款）
4715650,123,手链（链条款）
3075521,123,挂饰（钥匙扣款）
3126258,123,仿真花（满天星款）
4621949,123,小夜灯（触控款）
202297,123,插座延长线（防雷款）
3155703,122,充电器（车载款）
642223,122,移动电源（自带线款）
3595690,122,自拍杆（可拆卸款）
4983640,122,手机支架（桌面款）
3795317,122,屏幕清洁套装（纳米纤维款）
1686309,122,桌面加湿器（超声波款）
3100520,122,小型工具箱（多功能款）
1545822,122,创意摆件（树脂款）
4302328,122,香薰蜡烛（浮雕款）
4921617,122,火柴盒（艺术款）
721664,121,小型垃圾桶（翻盖款）
4188178,121,桌面吸尘器（手持款）
3867633,121,旅行牙刷套装（电动款）
1420205,121,折叠水壶（耐热款）
3415144,120,简易画板（塑料款）
1286537,119,彩色铅笔（油性款）
1253595,119,橡皮擦（卡通造型款）
2430608,119,学生尺子（波浪款）
5045733,118,透明文件袋（拉链款）
2241047,118,小型镜子（放大款）
791327,117,电子计算器（工程型）
550660,117,化妆棉（三层款）
2489066,117,卸妆水（油性款）
2014414,117,睫毛夹（弧形款）
2191219,117,假睫毛（浓密款）
2551049,117,眉笔（三合一功能款）
882707,117,口红（滋润款）
1691286,117,腮红（膏状款）
1737857,117,粉底液（轻薄型）
4718907,116,隔离霜（润色型）
2986945,116,定妆喷雾（控油型）
4331400,116,指甲锉（抛光款）
3679920,116,指甲剪套装（专业款）
5028478,115,美甲贴纸（法式款）
902556,115,护手霜（乳木果款）
3139583,115,香体喷雾（清新型）
500212,115,运动护腕（压缩款）
2862133,115,运动头带（宽款）
2486578,115,运动毛巾（抗菌款）
2903469,115,小型哑铃（可拆卸款）
4627820,114,弹力带（阻力环款）
542584,114,运动水壶（保温款）
3973395,114,健身手套（透气款）
211810,114,瑜伽砖（泡沫款）
4211850,114,护膝（护髌骨款）
376030,113,跑步腰包（反光款）
2923541,113,健身计步器（腰夹款）
1854481,113,自动铅笔（2B款）
3054014,112,彩色荧光笔（8色套装）
3917972,112,活页本（横线款）
3938045,111,订书钉（窄幅款）
1277731,111,修正带（环保款）
5008221,111,水彩颜料套装（固体款）
4565874,111,毛笔（兼毫款）
4167298,111,画架（户外写生款）
1572948,110,手账胶带（节日款）
3274258,110,DIY手工材料包（串珠款）
854059,110,磁性书签（创意款）
3483675,110,文件收纳袋（网格式款）
4827153,110,笔袋（网格款）
3102560,109,创意橡皮（几何款）
1587961,109,钢尺（刻度清晰款）
181348,109,桌面整理盘（皮革款）
3993644,109,多功能文具盒（磁吸款）
1910923,108,小型白板（双面白板款）
940822,108,白板笔（粗头款）
2204852,108,文具收纳架（壁挂款）
4692440,107,学生计算器（编程型）
2340518,107,字帖练习本（软笔书法）
339124,107,英语单词卡片（高频短语）
2370324,107,数学练习册（初中版）
3563906,107,科学实验工具套装（化学实验款）
5147460,106,彩色便签条（波浪款）
2020240,106,手工剪刀（绣花款）
749692,106,纸胶带（星空款）
2196412,106,DIY拼图套装（立体建筑款）
1202097,106,手绘模板（动物款）
810632,106,阅读架（升降款）
3826089,106,折叠书桌灯（可调光款）
5008466,106,运动发带（薄款）
3328511,106,瑜伽袜（露趾款）
522951,105,健身垫（厚款）
3123187,105,跳舞鞋（芭蕾款）
3470850,105,运动内衣（高支撑款）
5028097,105,瑜伽眼罩（遮光款）
5002819,105,健身拉力绳（弹簧款）
838946,104,短跑训练鞋（钉鞋款）
2221749,104,运动护踝（压缩款）
344221,104,网球拍（初学者款）
4700878,104,乒乓球拍套装（家庭款）
2218582,104,羽毛球拍（入门款）
4877478,104,健身课程体验券（私教课）
845650,103,运动背包（双肩款）
3160684,103,防滑瑜伽垫（天然橡胶款）
3577636,103,美妆蛋（海绵款）
1850548,103,化妆刷清洗剂（免洗款）
2792484,103,睫毛增长液（滋养修护款）
1929516,103,面部按摩仪（EMS微电流款）
4244990,103,美容面膜刷（硅胶柔软款）
65362,103,防晒喷雾（高倍数款）
2782399,102,美白精华（烟酰胺款）
5007081,102,唇膜（果冻款）
4197505,102,眼线笔（极细款）
4141018,102,睫毛膏（防水型）
2201685,102,高光粉（液体款）
3360956,102,修容棒（粉饼款）
1169503,102,美甲灯（家用款）
4011278,101,美甲工具套装（全套款）
22129,100,香薰精油套装（复方款）
3985610,100,染发工具（渐变喷雾款）
3608477,100,发蜡（清爽型）
4864926,100,发泥（强力定型款）
1676308,100,定型喷雾（保湿型）
5150761,100,美容放大镜（高清款）
393045,99,睫毛滋养液（修复滋养款）
4980533,99,面部清洁仪（离子导入款）
2422417,99,美妆收纳盒（分隔款）
399287,98,化妆镜（补光款）
2313309,98,美甲贴钻（水晶款）
1506018,98,美甲亮片（闪粉款）
2604507,98,美甲UV胶（持久款）
4345501,98,手机镜头套装（微距款）
4611962,98,手机背夹电池（快充款）
4467019,98,无线充电板（磁吸款）
2407396,98,蓝牙耳机（主动降噪款）
1422474,98,耳机收纳盒（硬壳款）
1508018,98,Type-C转接头（弯头款）
750949,97,Lightning转接头（二合一款）
412619,97,USB分线器（多接口款）
2753808,97,多功能读卡器（高速传输款）
3456641,97,移动硬盘（2TB款）
3419760,97,U盘（256GB款）
2562909,97,笔记本散热支架（静音款）
2515942,97,游戏手柄（震动反馈款）
4827537,96,智能手环（睡眠监测款）
2101190,96,智能插座（APP控制款）
4391390,96,小型投影仪（便携款）
1829804,96,便携式屏幕清洁器（静电吸附款）
820597,95,电脑摄像头（内置麦克风款）
3733874,95,鼠标垫（RGB灯光款）
1929875,95,键盘防尘罩（硅胶款）
2343750,95,平板保护套（磁吸款）
2948269,95,平板支架（可调节角度款）
893651,94,手写笔（精准压感款）
1964754,94,游戏耳机（虚拟环绕声款）
3833912,94,游戏鼠标（对称设计款）
5013760,94,电竞键盘（青轴款）
4604594,94,无线路由器（WiFi 6款）
2052526,94,网线钳（多功能款）
4238377,94,水晶头（屏蔽款）
1980111,94,HDMI高清线（镀金款）
4121221,94,VGA转HDMI转换器（4K支持款）
